# CKS dispersion coefficients from Grimme's D3 model
# Grimme, S.; Antony, J.; Ehrlich, S.; Krieg, H. A consistent and accurate ab initio parametrization of density functional dispersion correctioin (DFT-D) for the 94 elements H-Pu
# J. Chem Phys. 2010 Apr 21;132(15):154104. doi: 10.1063/1.3382344.
6	5	2.9987	2.9128	28.4121
6	5	0	4.5856	37.0042
6	5	0.9868	4.5856	34.7226
6	5	1.9985	4.5856	28.6763
6	5	2.9987	4.5856	26.8506
6	5	3.9844	0	40.8962
6	5	3.9844	0.9706	34.999
6	5	3.9844	1.9441	29.8916
6	5	3.9844	2.9128	23.621
6	5	3.9844	4.5856	22.3797
6	6	0	0	49.113
6	6	0.9868	0	46.0681
6	6	0.9868	0.9868	43.2452
6	6	1.9985	0	37.8419
6	6	1.9985	0.9868	35.5219
6	6	1.9985	1.9985	29.3602
6	6	2.9987	0	35.4129
6	6	2.9987	0.9868	33.254
6	6	2.9987	1.9985	27.5063
6	6	2.9987	2.9987	25.7809
6	6	3.9844	0	29.283
6	6	3.9844	0.9868	27.5206
6	6	3.9844	1.9985	22.9517
6	6	3.9844	2.9987	21.5377
6	6	3.9844	3.9844	18.2067
7	1	0	0.9118	8.7171
7	1	0	0	13.5164
7	1	0.9944	0.9118	8.1417
7	1	0.9944	0	12.598
7	1	2.0143	0.9118	7.661
7	1	2.0143	0	11.8214
7	1	2.9903	0.9118	6.7746
7	1	2.9903	0	10.3987
7	5	0	0	49.1132
7	5	0	0.9706	41.9015
7	5	0.9944	0	45.7319
7	5	0.9944	0.9706	39.0433
7	5	0	1.9441	35.6778
7	5	0.9944	1.9441	33.2677
7	5	2.0143	0	42.8348
7	5	2.0143	0.9706	36.6063
7	5	2.0143	1.9441	31.2221
7	5	0	2.9128	28.0129
7	5	0.9944	2.9128	26.1481
7	5	2.0143	2.9128	24.5919
7	5	2.9903	0	37.5685
7	5	2.9903	0.9706	32.1644
7	5	2.9903	1.9441	27.4842
7	5	2.9903	2.9128	21.7205
7	5	0	4.5856	26.5083
7	5	0.9944	4.5856	24.7525
7	5	2.0143	4.5856	23.29
7	5	2.9903	4.5856	20.5886
7	6	0	0	34.8146
7	6	0	0.9868	32.7009
7	6	0.9944	0	32.4848
7	6	0.9944	0.9868	30.541
7	6	0	1.9985	27.1704
7	6	0.9944	1.9985	25.3827
7	6	2.0143	0	30.5305
7	6	2.0143	0.9868	28.6938
7	6	2.0143	1.9985	23.8965
7	6	0	2.9987	25.4799
7	6	0.9944	2.9987	23.8136
7	6	2.0143	2.9987	22.4279
7	6	2.9903	0	26.9351
7	6	2.9903	0.9868	25.3318
7	6	2.9903	1.9985	21.1488
7	6	2.9903	2.9987	19.8669
7	6	0	3.9844	21.4199
7	6	0.9944	3.9844	20.0468
